**book_Name author genre yearOfPublish**
Dune Herbert Sci-Fi 1965
Matilda Dahl Children 1988
Charlottes_Web White Children 1952
Jurassic_Park Crichton Sci-Fi 1990
Foundation Asimov Sci-Fi 1951
Frankenstein Shelley Horror 1818
Dracula Stoker Horror 1897
It King Horror 1986
Rebecca DuMaurier Mystery 1938
Jane_Eyre Brontë Romance 1847
Wuthering_Heights Brontë Romance 1847
Emma Austen Romance 1815
Persuasion Austen Romance 1817
Pride_and_Prejudice Austen Romance 1813
Anna_Karenina Tolstoy Romance 1878
Madame_Bovary Flaubert Fiction 1856
Lolita Nabokov Fiction 1955
Crime_and_Punishment Dostoevsky Fiction 1866
Moby_Dick Melville Fiction 1851
Ulysses Joyce Fiction 1922
